,layers,thresholds,learning rates,epochs,layer_n,epoch,train accuracy,validation accuracy
0,"[3072, 2, 2]","[2, 4]","[0.1, 0.5]","[3, 2]",1,1,0.16766667366027832,0.16519999504089355
1,"[3072, 2, 2]","[2, 4]","[0.1, 0.5]","[3, 2]",1,2,0.17059999704360962,0.16740000247955322
2,"[3072, 2, 2]","[2, 4]","[0.1, 0.5]","[3, 2]",1,3,0.15862222015857697,0.15839999914169312
3,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,1,0.2749333381652832,0.272599995136261
4,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,2,0.3297555446624756,0.32019999623298645
5,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,3,0.3609555661678314,0.3465999960899353
6,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,4,0.3861111104488373,0.37040001153945923
7,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,5,0.4078666567802429,0.38679999113082886
8,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,6,0.4102444350719452,0.3864000141620636
9,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,7,0.4226444363594055,0.39980000257492065
10,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,8,0.43308889865875244,0.40540000796318054
11,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,9,0.42995554208755493,0.3962000012397766
12,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,10,0.4359777867794037,0.4027999937534332
13,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,11,0.4496888816356659,0.41519999504089355
14,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,12,0.4590444564819336,0.42419999837875366
15,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,13,0.46177777647972107,0.41780000925064087
16,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,14,0.4640222191810608,0.4189999997615814
17,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,15,0.4875999987125397,0.43779999017715454
18,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,16,0.4746444523334503,0.4251999855041504
19,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,17,0.47697776556015015,0.42660000920295715
20,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,18,0.49453333020210266,0.44359999895095825
21,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,19,0.4956444501876831,0.43959999084472656
22,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,20,0.5045333504676819,0.44920000433921814
23,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,21,0.5024666786193848,0.45159998536109924
24,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,22,0.5147777795791626,0.4458000063896179
25,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,23,0.522266685962677,0.4560000002384186
26,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,24,0.526711106300354,0.4611999988555908
27,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,25,0.5253111124038696,0.45660001039505005
28,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,26,0.534600019454956,0.459199994802475
29,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,27,0.5473555326461792,0.46540001034736633
30,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,28,0.549822211265564,0.4666000008583069
31,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,29,0.5371333360671997,0.4575999975204468
32,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,30,0.5579333305358887,0.47440001368522644
33,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,31,0.5552666783332825,0.4787999987602234
34,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,32,0.5688889026641846,0.48100000619888306
35,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,33,0.5696889162063599,0.47200000286102295
36,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,34,0.570888876914978,0.4713999927043915
37,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,35,0.5716888904571533,0.4731999933719635
38,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,36,0.5772444605827332,0.46799999475479126
39,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,37,0.5807111263275146,0.4763999879360199
40,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,38,0.5820888876914978,0.47600001096725464
41,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,39,0.5893333554267883,0.4867999851703644
42,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,40,0.5959333181381226,0.4880000054836273
43,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,41,0.6029555797576904,0.4887999892234802
44,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,42,0.6067110896110535,0.48500001430511475
45,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,43,0.611311137676239,0.48539999127388
46,"[3072, 2048, 2048]","[2, 1]","[0.03, 0.1]","[70, 30]",1,44,0.611822247505188,0.48579999804496765
